Timestamp,Which faculty or school are you in?,Year of study,"Which kinds of role are you applying for, or planning to?",How many job or internship interviews have you had in the past 12 months?,[Recruiter screen (background and motivation)] relevance,[Behavioural questions] relevance,[HR and people questions] relevance,[Technical coding questions] relevance,[System design questions] relevance,[Computer science fundamentals] relevance,[Recruiter screen (background and motivation)] difficulty,[Behavioural questions] difficulty,[HR and people questions] difficulty,[Technical coding questions] difficulty,[System design questions] difficulty,[Computer science fundamentals] difficulty,Which would you most want to practise? Choose up to three.,"Which technical topics have come up in your interviews, or do you expect them to? Choose any.",How do you prepare for interviews today? Choose any.,How useful is your current preparation?,What is missing from how you practise now? Choose any.,"If you practised with software, would you rather speak your answers or type them?",Would practising several rounds back to back be useful to you?,What is the hardest part of interviews for you?,Anything else you would want practice software to do?,Synthetic (not a real response)
2026-09-18 14:02:11,Computing / Computer Science / IT,Year 3,Software engineering,3–5,Very,Essential,Moderately,Essential,Very,Very,Slightly,Very difficult,Slightly,Moderately,Very difficult,Moderately,"Behavioural questions;Technical coding questions;System design questions","Data structures and algorithms;Databases and SQL;System design;Operating systems",Coding practice sites;Reading question lists or guides,2,"Follow-up questions that react to what I said;Feedback on what I said;Realistic pressure",Speak them,Yes,"Behavioural rounds. I can solve the coding question but I freeze when asked about a time I disagreed with someone.",Ask me follow ups instead of moving to the next question when my answer is vague.,TRUE
2026-09-18 14:07:45,Computing / Computer Science / IT,Year 4 or above,Software engineering;Data, AI or machine learning,6 or more,Moderately,Very,Moderately,Essential,Essential,Very,Not difficult,Moderately,Slightly,Moderately,Very difficult,Moderately,"System design questions;Technical coding questions","Data structures and algorithms;System design;Cloud and DevOps;AI and machine learning;Databases and SQL",Coding practice sites;Mock interview with a friend,3,"Practising several rounds in one sitting;Knowing what to work on next",Depends on the round,Yes,"System design. There is no single right answer so I never know if what I said was good.",Tell me which part of my answer was weak rather than a score only.,TRUE
2026-09-18 14:15:02,Engineering,Year 2,Software engineering;Research or academia,1–2,Very,Very,Moderately,Very,Slightly,Moderately,Moderately,Very difficult,Moderately,Moderately,Have not faced it,Slightly,"Behavioural questions;Recruiter screen (background and motivation)","Data structures and algorithms;Programming languages;Testing and debugging",Reading question lists or guides;Asking an AI chatbot to role-play,2,"Follow-up questions that react to what I said;Feedback on how I sounded",Speak them,Yes,Talking about myself without rambling.,Time my answers so I learn what two minutes feels like.,TRUE
2026-09-18 14:21:38,Business,Year 3,Consulting;Finance or accounting,3–5,Essential,Essential,Very,Not relevant,Not relevant,Not relevant,Slightly,Very difficult,Moderately,Have not faced it,Have not faced it,Have not faced it,"Behavioural questions;HR and people questions","None of these, my interviews are not technical",Mock interview with a friend;University career service,3,"Realistic pressure;Feedback on what I said",Speak them,Yes,"Case interviews and behavioural questions where the interviewer keeps pushing for detail.",Make the interviewer push back the way a real one does.,TRUE
2026-09-18 14:28:54,Computing / Computer Science / IT,Year 2,Software engineering,1–2,Very,Very,Slightly,Essential,Moderately,Essential,Slightly,Moderately,Slightly,Very difficult,Moderately,Moderately,"Technical coding questions;Computer science fundamentals (explain a concept)","Data structures and algorithms;Operating systems;Computer networks;Object-oriented design",Coding practice sites,2,"Feedback on what I said;Questions tied to a specific job description",Type them,Unsure,"Explaining my thinking out loud while coding. I go silent and then the interviewer cannot follow me.",Let me practise explaining a concept and mark whether it was actually correct.,TRUE
2026-09-18 14:35:19,Arts and Social Sciences,Year 4 or above,"Marketing, HR or operations",1–2,Essential,Very,Very,Not relevant,Not relevant,Not relevant,Moderately,Moderately,Slightly,Have not faced it,Have not faced it,Have not faced it,"Behavioural questions;Recruiter screen (background and motivation)","None of these, my interviews are not technical",Reading question lists or guides,2,"Feedback on how I sounded;Realistic pressure",Speak them,Unsure,Sounding confident when I am nervous.,Tell me if I sound too hesitant.,TRUE
2026-09-18 14:41:07,Computing / Computer Science / IT,Graduated in the last year,Software engineering;Data, AI or machine learning,6 or more,Moderately,Very,Moderately,Essential,Essential,Moderately,Not difficult,Slightly,Not difficult,Moderately,Very difficult,Slightly,"System design questions;Behavioural questions","System design;Cloud and DevOps;Databases and SQL;Data structures and algorithms;Security",Coding practice sites;Mock interview with a friend;Recording myself,4,"Practising several rounds in one sitting;Follow-up questions that react to what I said",Speak them,Yes,"Staying sharp across a full loop. By the fourth round I am tired and my answers get worse.",Run a whole day of rounds so I can practise the stamina.,TRUE
2026-09-18 14:49:33,Science,Year 3,Data, AI or machine learning;Research or academia,None,Moderately,Moderately,Slightly,Very,Slightly,Very,Moderately,Moderately,Moderately,Very difficult,Have not faced it,Moderately,"Technical coding questions;Computer science fundamentals (explain a concept)","AI and machine learning;Data structures and algorithms;Databases and SQL",Reading question lists or guides;Coding practice sites,2,"Knowing what to work on next;Feedback on what I said",Type them,Unsure,"I have never had a real interview so I do not know what the standard is.",Show me what a strong answer would have looked like.,TRUE
2026-09-18 14:55:48,Engineering,Year 4 or above,Software engineering,3–5,Very,Essential,Moderately,Very,Moderately,Moderately,Slightly,Very difficult,Moderately,Moderately,Moderately,Slightly,"Behavioural questions;Technical coding questions","Data structures and algorithms;Testing and debugging;Programming languages;Object-oriented design",Coding practice sites;University career service,3,"Follow-up questions that react to what I said;Realistic pressure",Speak them,Yes,"Behavioural questions. I give a general answer and only later realise they wanted one specific story.",Stop me when I answer in general terms and ask for a specific example.,TRUE
2026-09-18 15:03:12,Design or Media,Year 2,Design;"Marketing, HR or operations",None,Very,Very,Very,Not relevant,Not relevant,Not relevant,Moderately,Moderately,Moderately,Have not faced it,Have not faced it,Have not faced it,"Behavioural questions;HR and people questions","None of these, my interviews are not technical",I do not prepare,1,"Realistic pressure;Feedback on what I said",Speak them,No,Talking through my portfolio without going off on tangents.,Keep me to time.,TRUE
